1,65,4.804
1,3533,4.7264
1,3562,3.5454
1,3608,3.491
1,141,3.3262
1,361,3.3262
1,92,3.2311
1,3829,3.1818
1,3420,3.1273
1,3734,3.0561
2,3549,7.0396
2,305,6.8394
2,288,6.6742
2,223,6.1252
2,219,4.8626
2,3762,4.8626
2,3663,4.5415
2,3766,3.9924
2,188,3.8844
2,3360,3.0988
3,3354,4.6113
3,3345,4.5087
3,268,3.6606
3,328,3.4825
3,21,3.3984
3,304,3.3722
3,313,3.3436
3,3790,3.1796
3,55,3.0462
3,217,2.8492
4,351,3.2291
4,3938,3.2282
4,3334,2.8336
4,3532,2.7219
4,3932,2.4147
4,3820,2.262
4,3826,2.262
4,143,2.1093
4,272,2.1093
4,370,2.1093
5,3933,4.0713
5,3936,3.6467
5,3935,3.5846
5,3937,3.5366
5,3924,3.5234
5,3926,3.341
5,139,3.267
5,133,3.2669
5,3912,3.2624
5,140,3.2616
6,59,8.2638
6,3906,6.6057
6,30,5.0646
6,3910,4.4334
6,3930,3.3136
6,3919,2.7281
6,272,2.6527
6,3463,2.3365
6,3920,2.0969
6,3926,2.0969
7,3693,3.7149
7,3459,3.4246
7,287,3.3848
7,21,3.3128
7,3416,3.309
7,3570,3.1772
7,3797,3.1214
7,3931,2.9839
7,3495,2.9256
7,3584,2.9008
8,3928,5.6294
8,135,3.675
8,3915,3.5547
8,3856,3.4374
8,3914,3.3206
8,3933,2.94
8,3935,2.9247
8,3674,2.8213
8,171,2.817
8,3932,2.817
9,252,3.0533
9,351,3.0022
9,3648,2.7096
9,129,2.6125
9,3508,2.495
9,3370,2.4598
9,101,2.3705
9,3443,2.3303
9,38,2.2178
9,216,2.1692
10,3524,4.8248
10,3876,4.7514
10,3527,4.562
10,218,4.2511
10,3446,4.2047
10,3920,3.9711
10,3374,3.9199
10,3899,3.661
10,66,3.6027
10,3412,3.4285
